"","vars","n","mean","sd","median","trimmed","mad","min","max","range","skew","kurtosis","se"
"hc1",1,556,0.196043165467626,0.397359063266981,0,0.121076233183857,0,0,1,1,1.52713340465231,0.332744595756747,0.0168517779285528
"hc2",2,451,0.144124168514412,0.351605615700834,0,0.0554016620498615,0,0,1,1,2.01980135676474,2.08423361965332,0.0165564618177007
"hc3",3,511,0.181996086105675,0.386219393081827,0,0.102689486552567,0,0,1,1,1.64353009052628,0.702577547034544,0.0170853400494022
"hc4",4,567,0.206349206349206,0.405041425393385,0,0.134065934065934,0,0,1,1,1.44742178275613,0.0952070569707257,0.017010140988413
"hc5",5,497,0.156941649899396,0.364112241501137,0,0.0726817042606516,0,0,1,1,1.88056347921406,1.53962898154769,0.0163326661856032
"hc6",6,433,0.191685912240185,0.394082588178805,0,0.115273775216138,0,0,1,1,1.5611044751215,0.438074891168142,0.0189384005890756
"hc7",7,541,0.160813308687616,0.367698654154452,0,0.0762124711316397,0,0,1,1,1.84150648922058,1.39373260913716,0.0158085998886071
"hc8",8,428,0.168224299065421,0.374503107072248,0,0.0872093023255814,0,0,1,1,1.76767838670765,1.12733720849528,0.0181022909433858
"hc9",9,522,0.233716475095785,0.423599850197064,0,0.167464114832536,0,0,1,1,1.25483237581578,-0.426201183176704,0.0185404617630965
"hc10",10,191,0.178010471204188,0.383526873957578,0,0.0980392156862745,0,0,1,1,1.67030652344823,0.794163899521227,0.027751030644289
"hc11",11,198,0.131313131313131,0.338598624265681,0,0.04375,0,0,1,1,2.16672359251337,2.70844654327741,0.0240631564168225
"hc12",12,132,0.113636363636364,0.318578121394032,0,0.0188679245283019,0,0,1,1,2.40717496506425,3.82362994749359,0.0277286663055214
"hc13",13,45,0.111111111111111,0.317820863081864,0,0.027027027027027,0,0,1,1,2.39283796471412,3.81185185185185,0.0473779369679134
"hc14",14,445,0.10561797752809,0.307693962324345,0,0.00840336134453781,0,0,1,1,2.55770875556686,4.55211869677515,0.0145860926875419
"hc15",15,161,0.0993788819875776,0.300103501814361,0,0,0,0,1,1,2.65330318160138,5.07163410309042,0.0236514692728693
"hc16",16,195,0.138461538461538,0.346272778933907,0,0.0509554140127389,0,0,1,1,2.07746285603703,2.32786846581718,0.0247971087469539
"hc17",17,140,0.0928571428571429,0.291274267434451,0,0,0,0,1,1,2.77562928876662,5.74530856376469,0.0246171686415158
"hc18",18,501,0.115768463073852,0.32026685479992,0,0.0199501246882793,0,0,1,1,2.39465684296483,3.74186212642921,0.0143084678446974
"hc19",19,279,0.136200716845878,0.343617932170073,0,0.0488888888888889,0,0,1,1,2.10987442233787,2.46042730796183,0.0205718674964073
"hc20",20,226,0.079646017699115,0.271345386148486,0,0,0,0,1,1,3.08458540510332,7.54812455194974,0.0180496265967886
"hc21",21,125,0.096,0.295776724858029,0,0,0,0,1,1,2.70993601807151,5.38704103834808,0.0264550745177921
"hc22",22,141,0.0638297872340425,0.245320954711718,0,0,0,0,1,1,3.53069559435376,10.5407187919637,0.0206597513288346
"hc23",23,364,0.118131868131868,0.323208474672435,0,0.023972602739726,0,0,1,1,2.35649169768659,3.5628638301697,0.0169407271549567
"hc24",24,527,0.0702087286527514,0.255741213958215,0,0,0,0,1,1,3.35476415004388,9.27204731515995,0.0111402622548091
"hc25",25,426,0.0821596244131455,0.274930635724893,0,0,0,0,1,1,3.0324705614248,7.21282573990586,0.0133204328254564
"hc26",26,449,0.0846325167037862,0.278644536284166,0,0,0,0,1,1,2.97470314118036,6.86416131237227,0.0131500487013772
"hc27",27,289,0.0761245674740484,0.265657331467436,0,0,0,0,1,1,3.1801022256325,8.1412564808036,0.0156269018510256
"hc28",28,123,0.170731707317073,0.37781331744509,0,0.0909090909090909,0,0,1,1,1.72885019989323,0.997228318255716,0.0340662795913205
"hc29",29,177,0.0847457627118644,0.279293076348391,0,0,0,0,1,1,2.95680919519718,6.78112765004144,0.0209929531485959
"hc30",30,79,0.0632911392405063,0.245041710311276,0,0,0,0,1,1,3.5192449477192,10.5187119181351,0.0275693463493436
"hc31",31,470,0.170212765957447,0.376220058555208,0,0.0877659574468085,0,0,1,1,1.74943122565175,1.06278442792306,0.0173537372551817
"hc32",32,509,0.143418467583497,0.350843897883231,0,0.0562347188264059,0,0,1,1,2.02871408882862,2.11985717488897,0.0155508823672674
"hc33",33,495,0.18989898989899,0.392617848806453,0,0.113350125944584,0,0,1,1,1.57646701164876,0.486242782872776,0.0176468599777283
"hc34",34,408,0.294117647058824,0.456204516706858,0,0.24390243902439,0,0,1,1,0.900375738554976,-1.19222764882097,0.0225854890656078
"hc35",35,514,0.0953307392996109,0.293957316703475,0,0,0,0,1,1,2.74789531315719,5.56176054572208,0.0129659014074006
"hc36",36,521,0.140115163147793,0.347440069791266,0,0.0503597122302158,0,0,1,1,2.06766064273333,2.27960702390621,0.0152216258231416
"hc37",37,477,0.262054507337526,0.440213819758924,0,0.203655352480418,0,0,1,1,1.07877874112033,-0.837980023325698,0.0201560061800308
"hc38",38,400,0.1025,0.303684558015291,0,0.003125,0,0,1,1,2.61130333785385,4.83100136006182,0.0151842279007645
"hc39",39,337,0.127596439169139,0.334136026601438,0,0.03690036900369,0,0,1,1,2.2224392235148,2.948010296783,0.0182015491786132
"hc40",40,476,0.182773109243697,0.386887007837249,0,0.104712041884817,0,0,1,1,1.63644909906958,0.679406209132626,0.0177329369302074
"hc41",41,404,0.155940594059406,0.36324885882117,0,0.0709876543209877,0,0,1,1,1.88965644578466,1.57471766448215,0.0180723061914201
"hc42",42,515,0.106796116504854,0.309154154161759,0,0.00968523002421308,0,0,1,1,2.53880063085557,4.45416881855476,0.0136229597054693
"hc43",43,0,NA,NA,NA,NA,NA,Inf,-Inf,-Inf,NA,NA,NA
"hc44",44,412,0.12621359223301,0.332493686543004,0,0.0333333333333333,0,0,1,1,2.24292474892585,3.03810312543052,0.0163807882077801
"hc45",45,529,0.12476370510397,0.330763566406586,0,0.0329411764705882,0,0,1,1,2.2646204211339,3.13444158582401,0.0143810246263733
"hc46",46,481,0.135135135135135,0.342223782220227,0,0.0441558441558442,0,0,1,1,2.127884319962,2.53317110489668,0.0156040613294493
"hc47",47,284,0.123239436619718,0.329292097116997,0,0.0307017543859649,0,0,1,1,2.28024872121269,3.21087728788023,0.0195398910523321
