"","vars","n","mean","sd","median","trimmed","mad","min","max","range","skew","kurtosis","se"
"engagement",1,568,4.03967290585619,0.826865679381172,4.1,4.07128924284395,0.852495,1.6,6,4.4,-0.344538903948654,-0.225856891828955,0.0346945131976003
"rh1",2,556,0.18705035971223,0.390303099105095,0,0.109865470852018,0,0,1,1,1.60073943526843,0.563389729151882,0.0165525383940363
"rh2",3,451,0.137472283813747,0.344727649033094,0,0.0470914127423823,0,0,1,1,2.09860674851316,2.40950761213435,0.0162325910163459
"rh3",4,511,0.176125244618395,0.381299964220298,0,0.0953545232273839,0,0,1,1,1.69546803005376,0.876338270057472,0.0168677173291204
"rh4",5,567,0.19047619047619,0.393023460732972,0,0.114285714285714,0,0,1,1,1.57231281601503,0.473011152334734,0.0165054339129112
"rh5",6,497,0.162977867203219,0.369717614441761,0,0.0802005012531328,0,0,1,1,1.81946440588921,1.31310492367917,0.0165841015251776
"rh6",7,433,0.150115473441109,0.357597740544352,0,0.0634005763688761,0,0,1,1,1.95234163740555,1.81584750095751,0.0171850507059309
"rh7",8,541,0.186691312384473,0.390024162236251,0,0.108545034642032,0,0,1,1,1.6036419744349,0.572736488562021,0.0167684484509757
"rh8",9,428,0.205607476635514,0.404617788989129,0,0.133720930232558,0,0,1,1,1.45176360683372,0.107886004452202,0.0195579390366385
"rh9",10,522,0.204980842911877,0.404074853407502,0,0.131578947368421,0,0,1,1,1.45742296906634,0.124330895344212,0.0176858758697514
"rh10",11,190,0.194736842105263,0.397044217028392,0,0.118421052631579,0,0,1,1,1.52958535433637,0.341511743126539,0.0288046149697624
"rh11",12,198,0.0707070707070707,0.256984672458661,0,0,0,0,1,1,3.32412652551562,9.09583209756135,0.0182631054201995
"rh12",13,132,0.0984848484848485,0.299104222047335,0,0,0,0,1,1,2.66444497063113,5.13836575634704,0.0260336809302264
"rh13",14,45,0.133333333333333,0.343775825476164,0,0.0540540540540541,0,0,1,1,2.0857692248833,2.40535612535613,0.0512470743190538
"rh14",15,446,0.114349775784753,0.318592979161086,0,0.0195530726256983,0,0,1,1,2.4155305532914,3.84342045901694,0.0150858147942408
"rh15",16,162,0.111111111111111,0.31524416249564,0,0.0153846153846154,0,0,1,1,2.45199363650319,4.03730852766347,0.0247679205589046
"rh16",17,195,0.117948717948718,0.323377627766827,0,0.0254777070063694,0,0,1,1,2.35076277435925,3.54434048697407,0.0231575529175412
"rh17",18,140,0.0928571428571429,0.291274267434451,0,0,0,0,1,1,2.77562928876662,5.74530856376469,0.0246171686415158
"rh18",19,501,0.0998003992015968,0.300033264955472,0,0,0,0,1,1,2.6623767818497,5.09843859686922,0.0134044977168709
"rh19",20,278,0.0755395683453237,0.264736563185325,0,0,0,0,1,1,3.19512794516048,8.23851630801605,0.0158778439232699
"rh20",21,226,0.079646017699115,0.271345386148486,0,0,0,0,1,1,3.08458540510332,7.54812455194974,0.0180496265967886
"rh21",22,125,0.096,0.295776724858029,0,0,0,0,1,1,2.70993601807151,5.38704103834808,0.0264550745177921
"rh22",23,141,0.0567375886524823,0.232165262732947,0,0,0,0,1,1,3.79142599647869,12.4634549252261,0.0195518422015464
"rh23",24,364,0.112637362637363,0.316584162654599,0,0.0171232876712329,0,0,1,1,2.44041553471151,3.96654771262023,0.0165935188628561
"rh24",25,527,0.108159392789374,0.310876702818857,0,0.0118203309692671,0,0,1,1,2.51609125483131,4.33895931709035,0.013542001872558
"rh25",26,426,0.0727699530516432,0.260063935376076,0,0,0,0,1,1,3.27786441359385,8.76498671827451,0.0126001388399918
"rh26",27,449,0.0824053452115813,0.27528800757429,0,0,0,0,1,1,3.02711769792976,7.17944628504659,0.0129916443178172
"rh27",28,289,0.0761245674740484,0.265657331467436,0,0,0,0,1,1,3.1801022256325,8.1412564808036,0.0156269018510256
"rh28",29,123,0.146341463414634,0.35489381531937,0,0.0606060606060606,0,0,1,1,1.97683503509087,1.92371446827128,0.0319996976804748
"rh29",30,177,0.107344632768362,0.310429065032661,0,0.013986013986014,0,0,1,1,2.51546661898619,4.35225691091827,0.0233332773708431
"rh30",31,79,0.0759493670886076,0.266609860875889,0,0,0,0,1,1,3.14079083200731,7.96587963379596,0.0299959528739033
"rh31",32,470,0.157446808510638,0.364609602739472,0,0.0718085106382979,0,0,1,1,1.87501564601398,1.51892900781765,0.0168181868637088
"rh32",33,509,0.147347740667976,0.35480092968386,0,0.0611246943765281,0,0,1,1,1.98398254553755,1.94000972680638,0.0157262747181858
"rh33",34,495,0.171717171717172,0.37751596047457,0,0.0906801007556675,0,0,1,1,1.73565975985803,1.01457668726744,0.0169680805753089
"rh34",35,409,0.163814180929095,0.370560154538695,0,0.0820668693009119,0,0,1,1,1.81003728946852,1.27938097940042,0.0183230203873905
"rh35",36,515,0.104854368932039,0.306663556876407,0,0.00726392251815981,0,0,1,1,2.57205885182419,4.62447760925023,0.0135132108762715
"rh36",37,521,0.130518234165067,0.337196473418846,0,0.0383693045563549,0,0,1,1,2.18728614829514,2.7895860313851,0.0147728457179628
"rh37",38,477,0.159329140461216,0.366366973246804,0,0.0757180156657963,0,0,1,1,1.85582593240841,1.44713689729142,0.0167747913524518
"rh38",39,400,0.1175,0.322418414618664,0,0.021875,0,0,1,1,2.36676152912212,3.61060538356639,0.0161209207309332
"rh39",40,338,0.118343195266272,0.323492955033839,0,0.0257352941176471,0,0,1,1,2.35261780306616,3.54532589084613,0.0175956970900387
"rh40",41,477,0.19706498951782,0.398199442726453,0,0.122715404699739,0,0,1,1,1.51833425246871,0.305993574100709,0.0182323000056531
"rh41",42,403,0.153846153846154,0.361249691289229,0,0.0681114551083591,0,0,1,1,1.91166892004956,1.65861217946386,0.0179951288871163
"rh42",43,515,0.0990291262135922,0.298991542906785,0,0,0,0,1,1,2.67694721847186,5.17610841025624,0.0131751415482
"rh43",44,0,NA,NA,NA,NA,NA,Inf,-Inf,-Inf,NA,NA,NA
"rh44",45,412,0.109223300970874,0.312298407799556,0,0.0121212121212121,0,0,1,1,2.49651104302629,4.24288330778222,0.0153858382364497
"rh45",46,530,0.126415094339623,0.33263054398047,0,0.0330188679245283,0,0,1,1,2.24200714713547,3.03232809481064,0.0144485475400297
"rh46",47,482,0.128630705394191,0.335138585743228,0,0.0362694300518135,0,0,1,1,2.21161534156977,2.89726624896514,0.0152651442832189
"rh47",48,284,0.126760563380282,0.333291856939462,0,0.0350877192982456,0,0,1,1,2.23182898416203,2.99163168025773,0.0197772331320562
"rh48",49,346,0.109826589595376,0.313126309631908,0,0.0143884892086331,0,0,1,1,2.48491250732501,4.1869161178608,0.0168337746947354
"rh49",50,404,0.123762376237624,0.329718585129725,0,0.0308641975308642,0,0,1,1,2.27652525178573,3.19048282211171,0.0164041127253747
"rh50",51,434,0.131336405529954,0.338157707050805,0,0.0402298850574713,0,0,1,1,2.17540000723974,2.73869145552824,0.0162320893736097
"rh51",52,430,0.144186046511628,0.35168745765255,0,0.0552325581395349,0,0,1,1,2.01876109854701,2.0802503769901,0.0169598752100303
"rh52",53,445,0.159550561797753,0.366600864629035,0,0.0756302521008403,0,0,1,1,1.8531564764784,1.43743425390277,0.0173785476660587
"rh53",54,509,0.143418467583497,0.350843897883231,0,0.0562347188264059,0,0,1,1,2.02871408882862,2.11985717488897,0.0155508823672674
"rh54",55,517,0.137330754352031,0.344529553533167,0,0.0481927710843374,0,0,1,1,2.10122907619022,2.41985541860643,0.0151523924391531
"rh55",56,454,0.136563876651982,0.3437651530598,0,0.0467032967032967,0,0,1,1,2.10978687062825,2.45662625474542,0.0161336980405317
"rh56",57,376,0.146276595744681,0.353854159163697,0,0.0596026490066225,0,0,1,1,1.99394378381403,1.9811019022455,0.0182486348919239
"rh57",58,305,0.137704918032787,0.345156302516009,0,0.0489795918367347,0,0,1,1,2.09242726618154,2.38610738129956,0.0197635923898601
"rh58",59,502,0.153386454183267,0.36071907290392,0,0.0671641791044776,0,0,1,1,1.91796390360629,1.68194792608152,0.016099680130738
"rh59",60,162,0.111111111111111,0.31524416249564,0,0.0153846153846154,0,0,1,1,2.45199363650319,4.03730852766347,0.0247679205589046
"rh60",61,436,0.144495412844037,0.351995261824255,0,0.0571428571428571,0,0,1,1,2.01530672784781,2.0662160042759,0.0168575157024286
"rh61",62,242,0.144628099173554,0.352454443828979,0,0.0567010309278351,0,0,1,1,2.00822221477869,2.04144333564351,0.0226566297537095
"rh62",63,286,0.143356643356643,0.351050441831508,0,0.0565217391304348,0,0,1,1,2.02475946217681,2.10705483814692,0.0207580477872415
"rh63",64,469,0.121535181236674,0.327097095642234,0,0.0291777188328912,0,0,1,1,2.30914833889175,3.33929972214589,0.0151039405170297
"rh64",65,105,0.161904761904762,0.37013016223531,0,0.0823529411764706,0,0,1,1,1.80950010355446,1.28681727236349,0.0361210052325892
"rh65",66,228,0.131578947368421,0.338776182914178,0,0.0434782608695652,0,0,1,1,2.16547200967026,2.70117390432488,0.0224360008036407
"rh66",67,145,0.110344827586207,0.314405112414928,0,0.0170940170940171,0,0,1,1,2.46158780555688,4.08774825097476,0.0261099234289668
"rh67",68,117,0.162393162393162,0.370397385791423,0,0.0842105263157895,0,0,1,1,1.80736323700066,1.27770092084725,0.034243250429969
"rh68",69,294,0.153061224489796,0.360660395876016,0,0.0677966101694915,0,0,1,1,1.91736445476972,1.68204235331812,0.0210341414363433
"rh69",70,390,0.141025641025641,0.348495074314641,0,0.0512820512820513,0,0,1,1,2.05485780597745,2.2281735753722,0.0176467340496593
"rh70",71,425,0.145882352941176,0.353404246717869,0,0.0586510263929619,0,0,1,1,1.99932192296365,2.00201537201767,0.0171426239736425
"rh71",72,531,0.145009416195857,0.352442354320129,0,0.0564705882352941,0,0,1,1,2.01066669364839,2.04664550902973,0.0152946954308184
"rh72",73,464,0.157327586206897,0.364502341899632,0,0.0725806451612903,0,0,1,1,1.87616844313215,1.52330493607507,0.0169215964113449
"rh73",74,490,0.138775510204082,0.346065425526195,0,0.048469387755102,0,0,1,1,2.08334765838845,2.34513594372849,0.0156336423442593
"rh74",75,507,0.145956607495069,0.353411412622552,0,0.058968058968059,0,0,1,1,1.99962462696949,2.00245993715884,0.0156955518624859
"rh75",76,371,0.137466307277628,0.344803972232249,0,0.0471380471380471,0,0,1,1,2.09717139055514,2.40463110306422,0.017901330287355
"rh76",77,468,0.170940170940171,0.376859518992445,0,0.0904255319148936,0,0,1,1,1.74259475066384,1.03886996002133,0.0174203374278712
"rh77",78,261,0.187739463601533,0.391254227224767,0,0.110047846889952,0,0,1,1,1.59008702900055,0.53045313030698,0.0242180286792347
"rh78",79,434,0.175115207373272,0.380504236500107,0,0.0948275862068965,0,0,1,1,1.70371932326775,0.904760148332225,0.0182647878345677
"rh79",80,321,0.146417445482866,0.354076174988807,0,0.0583657587548638,0,0,1,1,1.99098994019113,1.97020774516559,0.0197626049286539
"rh80",81,307,0.133550488599349,0.340724094232098,0,0.0445344129554656,0,0,1,1,2.14399786200563,2.60524476760845,0.0194461511888485
"rh81",82,380,0.2,0.400527356853924,0,0.125,0,0,1,1,1.49408284450799,0.232917243767313,0.0205466198775006
"rh82",83,211,0.146919431279621,0.354867497943694,0,0.0591715976331361,0,0,1,1,1.98049809087824,1.93159444147778,0.0244300860564234
"rh83",84,159,0.157232704402516,0.365170173525321,0,0.0775193798449612,0,0,1,1,1.86549478099237,1.48955748137207,0.0289598785171226
"rh84",85,260,0.126923076923077,0.333528801217318,0,0.0336538461538462,0,0,1,1,2.22854524393633,2.97791173273806,0.0206845781684235
"rc1",86,556,0.654676258992806,0.475901878232918,1,0.692825112107623,0,0,1,1,-0.648865118396616,-1.58180934030742,0.0201827352365533
"rc2",87,451,0.598669623059867,0.490711958448212,1,0.623268698060942,0,0,1,1,-0.401257159981112,-1.84306457094891,0.0231067236720408
"rc3",88,511,0.545988258317025,0.498368467374921,1,0.557457212713936,0,0,1,1,-0.184194084217122,-1.9699160795894,0.0220465230061504
"rc4",89,567,0.779541446208113,0.41492193649551,1,0.848351648351648,0,0,1,1,-1.34506471333547,-0.191128678463051,0.0174250834519437
"rc5",90,497,0.243460764587525,0.429603266634981,0,0.180451127819549,0,0,1,1,1.19190462350949,-0.580519278133301,0.0192703401491431
"rc6",91,432,0.49537037037037,0.500558251558772,0,0.494219653179191,0,0,1,1,0.0184550464605959,-2.00428289229304,0.0240831201068788
"rc7",92,541,0.321626617375231,0.467532863920558,0,0.277136258660508,0,0,1,1,0.761630618339138,-1.42253801774795,0.0201008078136454
"rc8",93,427,0.241217798594848,0.42832397117533,0,0.177842565597668,0,0,1,1,1.20551811931809,-0.547992978989822,0.0207280497756571
"rc9",94,520,0.626923076923077,0.484087996831618,1,0.658653846153846,0,0,1,1,-0.523371762621511,-1.72939667336125,0.0212286629835723
"rc10",95,190,0.331578947368421,0.47202438236161,0,0.289473684210526,0,0,1,1,0.709855813805973,-1.50393722599079,0.0342442478876195
"rc11",96,198,0.101010101010101,0.302105958315515,0,0.00625,0,0,1,1,2.62805010999058,4.93163100188126,0.0214697355760554
"rc12",97,131,0.190839694656489,0.394471483161455,0,0.114285714285714,0,0,1,1,1.55550054241601,0.422985202296123,0.034465133507526
"rc13",98,45,0.333333333333333,0.476731294622796,0,0.297297297297297,0,0,1,1,0.683667989918321,-1.56592592592593,0.0710669054518701
"rc14",99,445,0.292134831460674,0.45525577384298,0,0.240896358543417,0,0,1,1,0.911127624149883,-1.17246606946897,0.0215811934158544
"rc15",100,162,0.179012345679012,0.384551379950447,0,0.1,0,0,1,1,1.65910859083906,0.757430892163476,0.030213209830845
"rc16",101,195,0.225641025641026,0.419079716304069,0,0.159235668789809,0,0,1,1,1.30262570408754,-0.304649821226488,0.030010921825357
"rc17",102,140,0.285714285714286,0.453376053445278,0,0.232142857142857,0,0,1,1,0.938537006637452,-1.12704591836735,0.03831727005613
"rc18",103,501,0.395209580838323,0.489384313181393,0,0.369077306733167,0,0,1,1,0.427399300841979,-1.82095252923526,0.0218640786703634
"rc19",104,279,0.0931899641577061,0.291220829779535,0,0,0,0,1,1,2.7838114166646,5.77032667205947,0.0174349350296804
"rc20",105,226,0.146017699115044,0.353907809271181,0,0.0604395604395604,0,0,1,1,1.991569546001,1.97514749662164,0.0235415972893555
"rc21",106,125,0.272,0.446780598533337,0,0.217821782178218,0,0,1,1,1.01247010609895,-0.982573383322561,0.0399612715739433
"rc22",107,141,0.156028368794326,0.36417593752907,0,0.0707964601769911,0,0,1,1,1.8756435057628,1.52903330968998,0.0306691465396307
"rc23",108,364,0.208791208791209,0.407004335712647,0,0.136986301369863,0,0,1,1,1.42705490617748,0.0366089006063337,0.0213328236803822
"rc24",109,527,0.146110056925996,0.353552115155043,0,0.0591016548463357,0,0,1,1,1.99811235749819,1.99625174222152,0.0154009720318805
"rc25",110,425,0.178823529411765,0.383656107574248,0,0.0997067448680352,0,0,1,1,1.67035402236449,0.791962597404766,0.0186100547699054
"rc26",111,449,0.369710467706013,0.48326471219753,0,0.337950138504155,0,0,1,1,0.538004749284458,-1.71435418067496,0.0228066718472228
"rc27",112,289,0.228373702422145,0.420512813750376,0,0.163090128755365,0,0,1,1,1.28741101504658,-0.343726365241374,0.0247360478676692
"rc28",113,123,0.146341463414634,0.35489381531937,0,0.0606060606060606,0,0,1,1,1.97683503509087,1.92371446827128,0.0319996976804748
"rc29",114,177,0.406779661016949,0.492626681946678,0,0.384615384615385,0,0,1,1,0.37632419760511,-1.86884295548473,0.0370280888773433
"rc30",115,79,0.455696202531646,0.501215659465151,0,0.446153846153846,0,0,1,1,0.174547578789306,-1.99429876696862,0.05639116742189
"rc31",116,470,0.708510638297872,0.454932590537866,1,0.76063829787234,0,0,1,1,-0.91471573138307,-1.16576190406305,0.0209844756160304
"rc32",117,509,0.75049115913556,0.433154464116313,1,0.811735941320293,0,0,1,1,-1.15431817405296,-0.668852032388099,0.0191992340723891
"rc33",118,494,0.676113360323887,0.468431714446226,1,0.71969696969697,0,0,1,1,-0.750405449185612,-1.43979393948993,0.0210757392183827
"rc34",119,409,0.295843520782396,0.456980000166615,0,0.246200607902736,0,0,1,1,0.89131830297809,-1.20848850311306,0.0225962067349263
"rc35",120,515,0.467961165048544,0.49945760312723,0,0.460048426150121,0,0,1,1,0.128045397331985,-1.98745220288335,0.0220087316000691
"rc36",121,519,0.71868978805395,0.450072300189031,1,0.772182254196643,0,0,1,1,-0.969926033462786,-1.06127720940899,0.019755981284838
"rc37",122,476,0.451680672268908,0.498183342835029,0,0.43979057591623,0,0,1,1,0.193574583461524,-1.96664726121277,0.0228341960810681
"rc38",123,400,0.385,0.48720470138601,0,0.35625,0,0,1,1,0.470900628313575,-1.78269059035477,0.0243602350693005
"rc39",124,337,0.697329376854599,0.460097027937124,1,0.745387453874539,0,0,1,1,-0.855227561996587,-1.27233490215753,0.0250630821408567
"rc40",125,475,0.650526315789474,0.47730645539851,1,0.687664041994751,0,0,1,1,-0.629404511854492,-1.60722029506294,0.0219003221492811
"rc41",126,403,0.548387096774194,0.498271768471763,1,0.560371517027864,0,0,1,1,-0.193737765575517,-1.96732893109217,0.0248206847249093
"rc42",127,514,0.478599221789883,0.500028442543242,0,0.473300970873786,0,0,1,1,0.0854317100291627,-1.99657446119072,0.022055309116363
"rc43",128,0,NA,NA,NA,NA,NA,Inf,-Inf,-Inf,NA,NA,NA
"rc44",129,412,0.519417475728155,0.500230263752752,1,0.524242424242424,0,0,1,1,-0.0774457178475423,-1.99883604521193,0.0246445762349717
"rc45",130,529,0.741020793950851,0.438488814971,1,0.8,0,0,1,1,-1.09724658814469,-0.797546861207789,0.0190647310856956
"rc46",131,482,0.670124481327801,0.470656180443261,1,0.712435233160622,0,0,1,1,-0.72142482358336,-1.48260927269498,0.0214378015778814
"rc47",132,284,0.549295774647887,0.498442305584325,1,0.56140350877193,0,0,1,1,-0.197102843904897,-1.9680430466171,0.0295771092967666
"rc48",133,346,0.661849710982659,0.473765110836892,1,0.701438848920863,0,0,1,1,-0.681274047244292,-1.54029234937869,0.0254697701494001
"rc49",134,404,0.668316831683168,0.471401625390395,1,0.709876543209877,0,0,1,1,-0.712344620038688,-1.49625036693364,0.023453107439444
"rc50",135,433,0.76905311778291,0.421926006596347,1,0.835734870317003,0,0,1,1,-1.27241148352673,-0.381834863681372,0.0202764698861677
"rc51",136,431,0.670533642691415,0.470565659759195,1,0.71304347826087,0,0,1,1,-0.7231210754897,-1.4805148421282,0.0226663502622329
"rc52",137,444,0.722972972972973,0.44803477492129,1,0.778089887640449,0,0,1,1,-0.993096045419628,-1.01603340159324,0.0212627894495857
"rc53",138,508,0.852362204724409,0.355090247034629,1,0.938725490196078,0,0,1,1,-1.980727892551,1.92708808220157,0.0157545821068177
"rc54",139,516,0.835271317829457,0.371295454581943,1,0.917874396135266,0,0,1,1,-1.80245442320469,1.25127816548827,0.0163453709750628
"rc55",140,454,0.552863436123348,0.497746084396549,1,0.565934065934066,0,0,1,1,-0.211943392385222,-1.95938127197953,0.0233603812225667
"rc56",141,376,0.518617021276596,0.500319047145089,1,0.52317880794702,0,0,1,1,-0.0742226706262183,-1.99978838008537,0.02580198475667
"rc57",142,303,0.712871287128713,0.453170588979346,1,0.765432098765432,0,0,1,1,-0.936374719747348,-1.12688884874224,0.0260339701106535
"rc58",143,501,0.826347305389222,0.379189175923739,1,0.907730673316708,0,0,1,1,-1.71785448658271,0.952938053226286,0.0169409230129408
"rc59",144,162,0.364197530864198,0.482696525670619,0,0.330769230769231,0,0,1,1,0.559209255139249,-1.69765025489453,0.0379242207285424
"rc60",145,437,0.482837528604119,0.500278091161936,0,0.478632478632479,0,0,1,1,0.068454718719299,-1.99987462625428,0.0239315465660897
"rc61",146,242,0.566115702479339,0.496636607759987,1,0.582474226804124,0,0,1,1,-0.265153619642203,-1.93764921748903,0.0319250102847791
"rc62",147,287,0.383275261324042,0.487033697568943,0,0.354978354978355,0,0,1,1,0.47765907307864,-1.77800055462147,0.0287486901727184
"rc63",148,468,0.675213675213675,0.468796076696094,1,0.718085106382979,0,0,1,1,-0.745907637499779,-1.44669934686686,0.0216701063110784
"rc64",149,105,0.428571428571429,0.497245158098847,0,0.411764705882353,0,0,1,1,0.284561038624187,-1.93720332577475,0.048526158606197
"rc65",150,229,0.314410480349345,0.465297704243091,0,0.27027027027027,0,0,1,1,0.79424026115758,-1.37513021913495,0.0307477377712886
"rc66",151,145,0.462068965517241,0.500287273795605,0,0.452991452991453,0,0,1,1,0.150591242730225,-1.99091033445232,0.0415465967170754
"rc67",152,117,0.461538461538462,0.500662690814359,0,0.452631578947368,0,0,1,1,0.152329334952246,-1.99361670301841,0.0462862821395627
"rc68",153,294,0.653061224489796,0.476807661145271,1,0.690677966101695,0,0,1,1,-0.63984126309368,-1.5959970510313,0.0278079875060899
"rc69",154,390,0.735897435897436,0.441420457502699,1,0.794871794871795,0,0,1,1,-1.06607007753259,-0.865694612557579,0.0223521937374533
"rc70",155,425,0.696470588235294,0.460323680937625,1,0.744868035190616,0,0,1,1,-0.851610780045137,-1.27774895146212,0.0223289783350465
"rc71",156,531,0.644067796610169,0.479246290247198,1,0.68,0,0,1,1,-0.600094295641134,-1.64297030929258,0.0207975175396275
"rc72",157,462,0.803030303030303,0.398140356048519,1,0.878378378378378,0,0,1,1,-1.51893365588207,0.307839815987328,0.0185231657412786
"rc73",158,489,0.830265848670757,0.375783513278308,1,0.910941475826972,0,0,1,1,-1.7541507104016,1.07926433673306,0.0169935178819354
