"","vars","n","mean","sd","median","trimmed","mad","min","max","range","skew","kurtosis","se"
"rc1",1,556,0.654676258992806,0.475901878232918,1,0.692825112107623,0,0,1,1,-0.648865118396616,-1.58180934030742,0.0201827352365533
"rc2",2,451,0.598669623059867,0.490711958448212,1,0.623268698060942,0,0,1,1,-0.401257159981112,-1.84306457094891,0.0231067236720408
"rc3",3,511,0.545988258317025,0.498368467374921,1,0.557457212713936,0,0,1,1,-0.184194084217122,-1.9699160795894,0.0220465230061504
"rc4",4,567,0.779541446208113,0.41492193649551,1,0.848351648351648,0,0,1,1,-1.34506471333547,-0.191128678463051,0.0174250834519437
"rc5",5,497,0.243460764587525,0.429603266634981,0,0.180451127819549,0,0,1,1,1.19190462350949,-0.580519278133301,0.0192703401491431
"rc6",6,432,0.49537037037037,0.500558251558772,0,0.494219653179191,0,0,1,1,0.0184550464605959,-2.00428289229304,0.0240831201068788
"rc7",7,541,0.321626617375231,0.467532863920558,0,0.277136258660508,0,0,1,1,0.761630618339138,-1.42253801774795,0.0201008078136454
"rc8",8,427,0.241217798594848,0.42832397117533,0,0.177842565597668,0,0,1,1,1.20551811931809,-0.547992978989822,0.0207280497756571
"rc9",9,520,0.626923076923077,0.484087996831618,1,0.658653846153846,0,0,1,1,-0.523371762621511,-1.72939667336125,0.0212286629835723
"rc10",10,190,0.331578947368421,0.47202438236161,0,0.289473684210526,0,0,1,1,0.709855813805973,-1.50393722599079,0.0342442478876195
"rc11",11,198,0.101010101010101,0.302105958315515,0,0.00625,0,0,1,1,2.62805010999058,4.93163100188126,0.0214697355760554
"rc12",12,131,0.190839694656489,0.394471483161455,0,0.114285714285714,0,0,1,1,1.55550054241601,0.422985202296123,0.034465133507526
"rc13",13,45,0.333333333333333,0.476731294622796,0,0.297297297297297,0,0,1,1,0.683667989918321,-1.56592592592593,0.0710669054518701
"rc14",14,445,0.292134831460674,0.45525577384298,0,0.240896358543417,0,0,1,1,0.911127624149883,-1.17246606946897,0.0215811934158544
"rc15",15,162,0.179012345679012,0.384551379950447,0,0.1,0,0,1,1,1.65910859083906,0.757430892163476,0.030213209830845
"rc16",16,195,0.225641025641026,0.419079716304069,0,0.159235668789809,0,0,1,1,1.30262570408754,-0.304649821226488,0.030010921825357
"rc17",17,140,0.285714285714286,0.453376053445278,0,0.232142857142857,0,0,1,1,0.938537006637452,-1.12704591836735,0.03831727005613
"rc18",18,501,0.395209580838323,0.489384313181393,0,0.369077306733167,0,0,1,1,0.427399300841979,-1.82095252923526,0.0218640786703634
"rc19",19,279,0.0931899641577061,0.291220829779535,0,0,0,0,1,1,2.7838114166646,5.77032667205947,0.0174349350296804
"rc20",20,226,0.146017699115044,0.353907809271181,0,0.0604395604395604,0,0,1,1,1.991569546001,1.97514749662164,0.0235415972893555
"rc21",21,125,0.272,0.446780598533337,0,0.217821782178218,0,0,1,1,1.01247010609895,-0.982573383322561,0.0399612715739433
"rc22",22,141,0.156028368794326,0.36417593752907,0,0.0707964601769911,0,0,1,1,1.8756435057628,1.52903330968998,0.0306691465396307
"rc23",23,364,0.208791208791209,0.407004335712647,0,0.136986301369863,0,0,1,1,1.42705490617748,0.0366089006063337,0.0213328236803822
"rc24",24,527,0.146110056925996,0.353552115155043,0,0.0591016548463357,0,0,1,1,1.99811235749819,1.99625174222152,0.0154009720318805
