"",".y.","group1","group2","n1","n2","statistic","df","p","p.adj","p.adj.signif"
"1","value","Information","Interact",568,568,-3.59593661802847,567,0.000351,0.007,"**"
"2","value","Information","Interpersonal",568,568,3.37383710087511,567,0.000792,0.017,"*"
"3","value","Information","Mental",568,568,-6.5745903079236,567,1.11e-10,2.33e-09,"****"
"4","value","Information","Output",568,568,8.0540722965024,567,4.74e-15,9.95e-14,"****"
"5","value","Information","Physical",568,568,23.5363077502286,567,5.75e-86,1.21e-84,"****"
"6","value","Information","Structural",568,568,7.68440483889863,567,6.8e-14,1.43e-12,"****"
"7","value","Interact","Interpersonal",568,568,11.1077047243247,567,4.51e-26,9.47e-25,"****"
"8","value","Interact","Mental",568,568,-3.2075931509977,567,0.001,0.03,"*"
"9","value","Interact","Output",568,568,12.435201525074,567,1.46e-31,3.07e-30,"****"
"10","value","Interact","Physical",568,568,35.6022088520842,567,1.09e-146,2.29e-145,"****"
"11","value","Interact","Structural",568,568,16.3889769092044,567,1.06e-49,2.23e-48,"****"
"12","value","Interpersonal","Mental",568,568,-12.6262528474137,567,2.21e-32,4.64e-31,"****"
"13","value","Interpersonal","Output",568,568,5.33204378698767,567,1.4e-07,2.94e-06,"****"
"14","value","Interpersonal","Physical",568,568,29.2473438949396,567,2.47e-115,5.19e-114,"****"
"15","value","Interpersonal","Structural",568,568,6.42060196576142,567,2.87e-10,6.03e-09,"****"
"16","value","Mental","Output",568,568,15.1805512941369,567,6.32e-44,1.33e-42,"****"
"17","value","Mental","Physical",568,568,33.8424082587009,567,3.41e-138,7.16e-137,"****"
"18","value","Mental","Structural",568,568,17.2249734059283,567,8.66e-54,1.82e-52,"****"
"19","value","Output","Physical",568,568,17.0371109646808,567,7.27e-53,1.53e-51,"****"
"20","value","Output","Structural",568,568,-1.10416981771219,567,0.27,1,"ns"
"21","value","Physical","Structural",568,568,-25.1401698034576,567,2.86e-94,6.01e-93,"****"
