Resources,
Autonomy ,"How much decision making freedom, without supervision, does your job offer?"
,"Developing specific goals and plans to prioritize, organize, and accomplish your work."
,"structured for the worker, rather than allowing the worker to determine tasks, priorities, and goals?"
Job Control,"To what extent is your job structured for you, rather than allowing you to determine tasks, priorities, and goals?"
,How regular are the work schedules for your job?
Participation,How responsible are you for work outcomes and results of other workers?
,How much responsibility is there for the health and safety of others in your job?
,"In your job, how often are you developing specific goals and plans to prioritize, organize, and accomplish your work?"
,"In your job, how often are you scheduling events, programs, and activities, as well as the work of others?"
,"In your job, how often are you developing, designing, or creating new applications, ideas, relationships, systems, or products, including artistic contributions?"
,"In your job, how often are you providing information to supervisors, co-workers, and subordinates by telephone, in written form, e-mail, or in person?"
,"In your job, how often are you providing guidance and direction to subordinates, including setting performance standards and monitoring performance?"
,"In your job, how often are you identifying the educational needs of others, developing formal educational or training programs or classes, and teaching or instructing others?"
Team Cohesion,How important is it to work with others in a group or team in your job?
,"In your job, how often are you getting members of a group to work together to accomplish tasks?"
,"In your job, how often are you encouraging and building mutual trust, respect, and cooperation among team members?"
Demands,
Physical Workload/Work Overload,"repeating the same physical or mental activities over and over, without stopping
"
,bending or twisting your body
,"climbing ladders, scaffolds, or poles"
,keeping or regaining your balance
,"kneeling, crouching, stooping or crawling"
,Sitting
,Standing
,"using your hands to handle, control, or feel objects, tools or controls"
Time Pressure,How important is it to your job that the pace is determined by the speed of equipment or machinery? (This does not refer to keeping busy at all times on this job.)
,How often does your job require you to meet strict deadlines?
Recipient Contact,"How much does your job require you to be in contact with others (face-to-face, by telephone, or otherwise) in order to perform it?"
,How often do you have to have face-to-face discussions with individuals or teams in your job?
,How often do you have to perform public speaking in your job?
,How often do you have telephone conversations in your job?
,"In your job, how often are you providing personal assistance, medical attention, emotional support, or other personal care to others such as coworkers, customers, or patients?"
,"In your job, how often are you communicating with people outside the organization, representing the organization to customers, the public, government, and other external sources? This information can be exchanged in person, in writing, or by telephone or e-mail?"
,"In your job, how often are you developing constructive and cooperative working relationships with others, and maintaining them over time?"
,"In your job, how often are you performing for people or dealing directly with the public? This includes serving customers in restaurants and stores, and receiving clients or guests."
,"In your job, how often are you convincing others to buy merchandise/goods or to otherwise change their minds or actions?"
,"In your job, how often are you recruiting, interviewing, selecting, hiring, and promoting employees in an organization?"
,How important is it to work with external customers or the public in your job?
Physical Environment,How often does your job require working in cramped work spaces that requires getting into awkward positions?
,"How often does your job require working exposed to contaminants (such as pollutants, gases, dust or odors)?"
,How often does your job require exposure to disease/infections?
,How often does your job require exposure to hazardous conditions?
,How often does your job require exposure to hazardous equipment?
,How often does your job require exposure to high places?
,"How often does your job require exposure to minor burns, cuts, bites, or stings?"
,How often does your job require exposure to radiation?
,"How often does your job require exposure to whole body vibration (e.g., operate a jackhammer)?"
,How often does your job require working in extremely bright or inadequate lighting conditions?
,"How often does your job require working in a closed vehicle or equipment (e.g., car)?"
,"How often does your job require working in an open vehicle or equipment (e.g., tractor)?"
,"How often does your job require working indoors in non-controlled environmental conditions (e.g., warehouse without heat)?"
Shift Work,How regular are the work schedules for your job?
Emotional Demands,How important is it to coordinate or lead others in accomplishing work activities in your job?
,How frequently does your job require you to deal with physical aggression of violent individuals?
,"How frequently do you have to deal with unpleasant, angry, or discourteous individuals as part of your job requirements?"
,How often are there conflict situations you have to face in your job?
,"In your job, how often are you handling complaints, settling disputes, and resolving grievances and conflicts, or otherwise negotiating with others?"
Work Pressure (responsibility for consequences),What results do your decisions usually have on other people or the image or reputation or financial resources of your employer?
,How important is being very exact or highly accurate in performing your job?
,
,
,
,
,
,
,
,
