"","description","mean","sd"
"item341","analyzing information and evaluating results to choose the best solution and solve problems",4.47,0.79
"item362","developing constructive and cooperative working relationships with others, and maintaining them over time",4.43,0.79
"item346","keeping up-to-date technically and applying new knowledge",4.48,0.81
"item361","encouraging and building mutual trust, respect, and cooperation among team members",4.44,0.81
"item291","being very exact or highly accurate",4.4,0.83
"item338","establishing long-range objectives and specifying the strategies and actions to achieve them",4.32,0.85
"item357","identifying the developmental needs of others and coaching, mentoring, or otherwise helping others to improve their knowledge or skills",4.21,0.85
"item342","developing specific goals and plans to prioritize, organize, and accomplish your work",4.41,0.86
"item339","using relevant information and individual judgment to determine whether events or processes comply with laws, regulations, or standards",4.12,0.87
"item360","getting members of a group to work together to accomplish tasks",4.3,0.87
"item333","observing, receiving, and otherwise obtaining information from all relevant sources",4.17,0.89
"item363","providing guidance and direction to subordinates",4.22,0.89
"item336","monitoring and reviewing information from materials, events, or the environment, to detect or assess problems",4.06,0.91
"item364","translating or explaining what information means and how it can be used",4.07,0.91
"item334","identifying information by categorizing, estimating, recognizing differences or similarities, and detecting changes in circumstances or events",4.1,0.92
"item337","identifying the underlying principles, reasons, or facts of information by breaking down information or data into separate parts",4.11,0.92
"item340","assessing the value, importance, or quality of things or people",4.17,0.92
"item345","developing, designing, or creating new applications, ideas, relationships, systems, or products",4.17,0.93
"item356","providing personal assistance, medical attention, emotional support, or other personal care to others such as coworkers, customers, or patients?",4.06,0.93
"item358","communicating with people outside the organization, representing the organization to customers, the public, government, and other external sources",4.18,0.93
"item328","responsible for work outcomes and results of other workers",4.05,0.94
"item372","identifying the educational needs of others, developing formal educational or training programs or classes, and teaching or instructing others",4.13,0.94
"item327","perform public speaking",4.28,0.95
"item320","coordinate or lead others",4.24,0.96
"item368","providing guidance and expert advice to management or other groups on technical, systems-, or process-related topics",4.06,0.97
"item321","work with external customers or the public",4.14,0.98
"item319","contact with others (face-to-face, by telephone, or otherwise) ",4.02,0.99
"item344","scheduling events, programs, and activities, as well as the work of others",3.78,0.99
"item289","decisions that affect other people, the financial resources, and/or the image and reputation of the organization",3.91,1
"item359","providing information to supervisors, co-workers, and subordinates by telephone, in written form, e-mail, or in person",3.95,1
"item369","handling complaints, settling disputes, and resolving grievances and conflicts, or otherwise negotiating with others",4.03,1
"item371","recruiting, interviewing, selecting, hiring, and promoting employees",3.92,1
"item290","decisions impact on other people or the image or reputation or financial resources of your employer",3.91,1.01
"item324","have face-to-face discussions with individuals or teams",4.06,1.02
"item343","compiling, coding, categorizing, calculating, tabulating, auditing, or verifying information or data",3.9,1.02
"item367","performing for people or dealing directly with the public",3.98,1.02
"item288","decision making freedom, without supervision",4.05,1.03
"item296","meeting strict deadlines",3.96,1.04
"item351","using computers and computer systems to program, write software, set up functions, enter data, or process information",4.09,1.05
"item365","monitoring and controlling resources and overseeing the spending of money",3.97,1.05
"item335","inspecting equipment, structures, or materials to identify the cause of errors or other problems or defects",3.81,1.06
"item349","providing documentation, detailed instructions, drawings, or specifications to tell others about how devices, parts, equipment, or structures are to be fabricated, constructed, assembled, modified, maintained, or used",3.83,1.07
"item309","keeping or regaining your balance",3.25,1.08
"item331","work with others in a group or team",3.33,1.08
"item293","compete or to be aware of competitive pressures",3.73,1.09
"item325"," conflict situations you have to face",3.85,1.1
"item330","telephone conversations",3.57,1.1
"item304","working outdoors, under cover",3.16,1.11
"item348","entering, transcribing, recording, storing, or maintaining information in written or electronic/magnetic form",3.63,1.11
