"","description","mean","sd"
"item228","using your hands to handle, control, or feel objects, tools or controls",2.27,1.12
"item251","monitoring and reviewing information from materials, events, or the environment, to detect or assess problems",2.22,1.13
"item223","keeping or regaining your balance",2.79,1.14
"item249","identifying information by categorizing, estimating, recognizing differences or similarities, and detecting changes in circumstances or events",2.19,1.15
"item215","working in an open vehicle or equipment ",2.44,1.16
"item227","standing",2.68,1.16
"item244","telephone conversations",2.24,1.16
"item262","using either control mechanisms or direct physical activity to operate machines or processes",2.47,1.16
"item252","identifying the underlying principles, reasons, or facts of information by breaking down information or data into separate parts",2.1,1.18
"item229","walking and running",2.57,1.19
"item232","wearing specialized protective or safety equipment",1.97,1.2
"item240","written letters and memos",2.4,1.2
"item246","estimating sizes, distances, and quantities; or determining time, costs, resources, or materials",2.27,1.2
"item253","establishing long-range objectives and specifying the strategies and actions to achieve them",1.99,1.21
"item274","providing information to supervisors, co-workers, and subordinates by telephone, in written form, e-mail, or in person",2.2,1.21
"item204","decisions that affect other people, the financial resources, and/or the image and reputation of the organization",2.28,1.22
"item225","making repetitive motions",3.04,1.22
"item231","wearing common protective or safety equipment ",2.07,1.22
"item234","coordinate or lead others",2.12,1.22
"item242","responsible for work outcomes and results of other workers",2.39,1.22
"item245","work with others in a group or team",2.33,1.22
"item250","inspecting equipment, structures, or materials to identify the cause of errors or other problems or defects",2.36,1.22
"item254","using relevant information and individual judgment to determine whether events or processes comply with laws, regulations, or standards",2.2,1.22
"item263","entering, transcribing, recording, storing, or maintaining information in written or electronic/magnetic form",2.39,1.22
"item205","decisions impact on other people or the image or reputation or financial resources of your employer",2.43,1.23
"item217","working indoors in non-controlled environmental conditions ",2.91,1.23
"item237","use electronic mail",2.06,1.23
"item247","observing, receiving, and otherwise obtaining information from all relevant sources",2.06,1.23
"item259","scheduling events, programs, and activities, as well as the work of others",2.47,1.23
"item268","performing physical activities that require considerable use of your arms and legs and moving your whole body",2.75,1.23
"item214","working in a closed vehicle or equipment",2.75,1.24
"item224","kneeling, crouching, stooping or crawling",2.97,1.24
"item226","sitting",2.72,1.24
"item269","servicing, repairing, calibrating, regulating, fine-tuning, or testing machines, devices, and equipment that operate primarily on the basis of electrical or electronic (not mechanical) principles",2.52,1.24
"item258","compiling, coding, categorizing, calculating, tabulating, auditing, or verifying information or data",2.3,1.25
"item273","communicating with people outside the organization, representing the organization to customers, the public, government, and other external sources",2.18,1.25
"item278","providing guidance and direction to subordinates",2.12,1.25
"item287","identifying the educational needs of others, developing formal educational or training programs or classes, and teaching or instructing others",2.06,1.25
"item220","close physical proximity to other people",2.46,1.26
"item221","working exposed to sounds and noise levels that are distracting or uncomfortable",3.67,1.26
"item260","developing, designing, or creating new applications, ideas, relationships, systems, or products",2.18,1.26
"item265","using hands and arms in handling, installing, positioning, and moving materials, and manipulating things",2.52,1.26
"item277","developing constructive and cooperative working relationships with others, and maintaining them over time",1.89,1.26
"item279","translating or explaining what information means and how it can be used",2.31,1.26
"item283","providing guidance and expert advice to management or other groups on technical, systems-, or process-related topics",2.24,1.26
"item216","working indoors in environmentally controlled conditions",2.29,1.27
"item233","contact with others (face-to-face, by telephone, or otherwise) ",2.16,1.27
"item241","perform public speaking",2.07,1.27
"item243","responsibility for the health and safety of others",2.34,1.27
"item256","analyzing information and evaluating results to choose the best solution and solve problems",1.96,1.27
"item266","using computers and computer systems to program, write software, set up functions, enter data, or process information",2.1,1.27
"item272","identifying the developmental needs of others and coaching, mentoring, or otherwise helping others to improve their knowledge or skills",2.08,1.27
"item276","encouraging and building mutual trust, respect, and cooperation among team members",1.93,1.27
"item210","pace is determined by the speed of equipment or machinery",3.12,1.28
"item219","working outdoors, under cover",2.8,1.28
"item222","bending or twisting your body",3.19,1.28
"item264","providing documentation, detailed instructions, drawings, or specifications to tell others about how devices, parts, equipment, or structures are to be fabricated, constructed, assembled, modified, maintained, or used",2.31,1.28
"item271","providing personal assistance, medical attention, emotional support, or other personal care to others such as coworkers, customers, or patients?",2.26,1.28
"item282","performing for people or dealing directly with the public",2.42,1.28
"item285","convincing others to buy merchandise/goods or to otherwise change their minds or actions",2.53,1.28
"item286","recruiting, interviewing, selecting, hiring, and promoting employees",2.39,1.28
"item209","job structured for you, rather than allowing you to determine tasks, priorities, and goals",3.1,1.29
"item212","regular work schedules",2.69,1.29
"item213","working in cramped work spaces ",3.35,1.29
"item235","work with external customers or the public",2.24,1.29
"item255","assessing the value, importance, or quality of things or people",2.2,1.29
"item208","compete or to be aware of competitive pressures",2.64,1.3
"item238","have face-to-face discussions with individuals or teams",2.11,1.3
"item257","developing specific goals and plans to prioritize, organize, and accomplish your work",1.95,1.3
"item270","servicing, repairing, adjusting, and testing machines, devices, moving parts, and equipment that operate primarily on the basis of mechanical (not electronic) principles",2.48,1.3
"item207","repeating the same physical or mental activities over and over, without stopping",3.06,1.31
"item211","meeting strict deadlines",2.68,1.31
"item280","monitoring and controlling resources and overseeing the spending of money",2.44,1.31
"item218","working outdoors",3.05,1.32
"item236","deal with unpleasant, angry, or discourteous individuals",3.37,1.32
"item261","keeping up-to-date technically and applying new knowledge",2,1.32
"item275","getting members of a group to work together to accomplish tasks",2.06,1.32
"item267","running, maneuvering, navigating, or driving vehicles or mechanized equipment",2.63,1.33
"item281","performing day-to-day administrative tasks such as maintaining information files and processing paperwork",2.68,1.34
"item239"," conflict situations you have to face",2.83,1.35
"item230","working in very hot wor very cold temperatures",3.59,1.36
"item203","decision making freedom, without supervision",2.37,1.37
"item284","handling complaints, settling disputes, and resolving grievances and conflicts, or otherwise negotiating with others",2.65,1.37
"item206","being very exact or highly accurate",2.21,1.41
