"","description","mean","sd"
"item172","developing specific goals and plans to prioritize, organize, and accomplish your work",4.48,0.7
"item171","analyzing information and evaluating results to choose the best solution and solve problems",4.49,0.74
"item191","encouraging and building mutual trust, respect, and cooperation among team members",4.52,0.74
"item190","getting members of a group to work together to accomplish tasks",4.39,0.79
"item192","developing constructive and cooperative working relationships with others, and maintaining them over time",4.47,0.81
"item170","assessing the value, importance, or quality of things or people",4.22,0.87
"item187","identifying the developmental needs of others and coaching, mentoring, or otherwise helping others to improve their knowledge or skills",4.16,0.87
"item150","coordinate or lead others",4.14,0.88
"item163","observing, receiving, and otherwise obtaining information from all relevant sources",4.19,0.88
"item168","establishing long-range objectives and specifying the strategies and actions to achieve them",4.3,0.88
"item176","keeping up-to-date technically and applying new knowledge",4.41,0.88
"item189","providing information to supervisors, co-workers, and subordinates by telephone, in written form, e-mail, or in person",4.11,0.89
"item166","monitoring and reviewing information from materials, events, or the environment, to detect or assess problems",4.02,0.9
"item193","providing guidance and direction to subordinates",4.18,0.9
"item198","providing guidance and expert advice to management or other groups on technical, systems-, or process-related topics",4.04,0.9
"item121","being very exact or highly accurate",4.34,0.91
"item167","identifying the underlying principles, reasons, or facts of information by breaking down information or data into separate parts",4.06,0.91
"item195","monitoring and controlling resources and overseeing the spending of money",4.05,0.91
"item158","responsible for work outcomes and results of other workers",3.99,0.93
"item194","translating or explaining what information means and how it can be used",4.08,0.93
"item188","communicating with people outside the organization, representing the organization to customers, the public, government, and other external sources",4.16,0.94
"item169","using relevant information and individual judgment to determine whether events or processes comply with laws, regulations, or standards",4.05,0.95
"item164","identifying information by categorizing, estimating, recognizing differences or similarities, and detecting changes in circumstances or events",4.04,0.97
"item202","identifying the educational needs of others, developing formal educational or training programs or classes, and teaching or instructing others",4.2,0.97
"item175","developing, designing, or creating new applications, ideas, relationships, systems, or products",4.16,0.98
"item119","decisions that affect other people, the financial resources, and/or the image and reputation of the organization",3.8,0.99
"item149","contact with others (face-to-face, by telephone, or otherwise) ",4.1,0.99
"item151","work with external customers or the public",4,0.99
"item181","using computers and computer systems to program, write software, set up functions, enter data, or process information",4.19,0.99
"item186","providing personal assistance, medical attention, emotional support, or other personal care to others such as coworkers, customers, or patients?",3.99,1
"item160","telephone conversations",3.77,1.01
"item154","have face-to-face discussions with individuals or teams",4.08,1.02
"item174","scheduling events, programs, and activities, as well as the work of others",3.83,1.02
"item179","providing documentation, detailed instructions, drawings, or specifications to tell others about how devices, parts, equipment, or structures are to be fabricated, constructed, assembled, modified, maintained, or used",3.97,1.02
"item157","perform public speaking",3.98,1.03
"item178","entering, transcribing, recording, storing, or maintaining information in written or electronic/magnetic form",3.84,1.03
"item197","performing for people or dealing directly with the public",3.93,1.03
"item120","decisions impact on other people or the image or reputation or financial resources of your employer",3.77,1.04
"item201","recruiting, interviewing, selecting, hiring, and promoting employees",3.87,1.04
"item118","decision making freedom, without supervision",3.99,1.05
"item153","use electronic mail",3.99,1.05
"item165","inspecting equipment, structures, or materials to identify the cause of errors or other problems or defects",3.78,1.06
"item126","meeting strict deadlines",3.81,1.07
"item173","compiling, coding, categorizing, calculating, tabulating, auditing, or verifying information or data",3.87,1.07
"item200","convincing others to buy merchandise/goods or to otherwise change their minds or actions",3.79,1.07
"item138","keeping or regaining your balance",3.1,1.09
"item199","handling complaints, settling disputes, and resolving grievances and conflicts, or otherwise negotiating with others",3.81,1.09
"item184","servicing, repairing, calibrating, regulating, fine-tuning, or testing machines, devices, and equipment that operate primarily on the basis of electrical or electronic (not mechanical) principles",3.68,1.1
"item196","performing day-to-day administrative tasks such as maintaining information files and processing paperwork",3.75,1.11
"item123","compete or to be aware of competitive pressures",3.57,1.12
"item147","wearing common protective or safety equipment ",3.86,1.13
"item127","regular work schedules",3.69,1.14
"item142","standing",2.99,1.14
"item143","using your hands to handle, control, or feel objects, tools or controls",3.45,1.14
"item156","written letters and memos",3.51,1.14
"item162","estimating sizes, distances, and quantities; or determining time, costs, resources, or materials",3.75,1.15
"item159","responsibility for the health and safety of others",3.8,1.16
"item180","using hands and arms in handling, installing, positioning, and moving materials, and manipulating things",3.5,1.16
"item131","working indoors in environmentally controlled conditions",3.55,1.17
"item185","servicing, repairing, adjusting, and testing machines, devices, moving parts, and equipment that operate primarily on the basis of mechanical (not electronic) principles",3.62,1.17
"item134","working outdoors, under cover",3.08,1.18
"item135","close physical proximity to other people",3.3,1.19
"item177","using either control mechanisms or direct physical activity to operate machines or processes",3.45,1.19
"item182","running, maneuvering, navigating, or driving vehicles or mechanized equipment",3.57,1.19
"item139","kneeling, crouching, stooping or crawling",2.58,1.2
"item144","walking and running",3.04,1.2
"item155"," conflict situations you have to face",3.31,1.2
"item183","performing physical activities that require considerable use of your arms and legs and moving your whole body",3.28,1.2
"item128","working in cramped work spaces ",2.34,1.22
"item129","working in a closed vehicle or equipment",2.88,1.22
"item130","working in an open vehicle or equipment ",3.22,1.22
"item137","bending or twisting your body",2.51,1.22
"item140","making repetitive motions",2.88,1.22
"item148","wearing specialized protective or safety equipment",3.78,1.22
"item141","sitting",3.01,1.23
"item132","working indoors in non-controlled environmental conditions ",2.78,1.24
"item161","work with others in a group or team",3.31,1.24
"item136","working exposed to sounds and noise levels that are distracting or uncomfortable",2.05,1.25
"item122","repeating the same physical or mental activities over and over, without stopping",3.08,1.27
