item400,O*Net Job Family Categories ,,O*Net Job Family Categories (Kulas)
Sales Management,Management,,
Sales administrator ,Sales and Related,,
Product manager,Management,,
Care manager ,Personal Care and Service,,
Accountant ,Business and Financial Operations,,
Doctoral Student in Clinical Psychology,Other,,
Software Engineer,Computer and Mathematical,,
Health Safety and Environment Coordinator ,Other,,
general collaborator in an ice cream company,Food Preparation and Serving Related,,
crop protection,Farming Fishing and Forestry,,
Administrator,Office and Administrative Support,,
Senior leader in a primary school,Educational Instruction and Library,,
Hostess,Food Preparation and Serving Related,,
Accounting and Finance Intern,Business and Financial Operations,,
Assembler,Production,,
CIEF STRATEGIC OFFICER,Management,,
Nursing,Healthcare Practitioner and Technical,,
NA,Other,,
Media liaison officer ,Arts Design Entertainment Sports Media,,
Screening,Other,,
NA,Other,,
Operations Intern,Business and Financial Operations,,
Product Specialst (Bank),Business and Financial Operations,,
SECURITY OFFICER,Protective Service,,
Assistant professor,Educational Instruction and Library,,
Webdesigner,Computer and Mathematical,,
NA,Other,,
assistance in transporting food ,Transportation and Material Moving,,
Yard Official ,Farming Fishing and Forestry,,
Personal Shopper,Personal Care and Service,,
Intelligence Analyst,Protective Service,might be military?,
Company Director,Management,,
Au pair,Community and Social Service,,
QA ANALYST,Business and Financial Operations,,
Teaching languages,Educational Instruction and Library,,
Nursing,Healthcare Practitioner and Technical,,
Lawyer,Legal,,
Children's Coordinator,Educational Instruction and Library,,
Accountant administrative,Business and Financial Operations,,
Auditor,Business and Financial Operations,,
crew member,Other,,
OPERADOR DE EGRESOS,Business and Financial Operations,,
Digital Marketing Manager ,Management,,
Medical equipment deliveries,Healthcare Support,,
Technical Human Resources,Business and Financial Operations,,
Financial consultant ,Business and Financial Operations,,
"retail, supervisor ",Personal Care and Service,,
Reseach Assistnat,Life Physical and Social Science,,
bookie,Business and Financial Operations,,
Administrative,Office and Administrative Support,,
Lawyer,Legal,,
Aircraft Maintenance Technician,Installation Maintenance and Repair,,
Physiotherapy ,Healthcare Practitioner and Technical,,
Economist ,Business and Financial Operations,,
SOFTWARE DEVELOPMENT,Computer and Mathematical,,
Teacher ,Educational Instruction and Library,,
Bluecolar,Other,,
Cinema operator/community center worker,Community and Social Service,,
Acountant ,Business and Financial Operations,,
Scientific Project Manager,Management,,
Digital Media Manager,Management,,
Fitness floor coordinator at gym,Healthcare Support,,
webdesigner,Computer and Mathematical,,
Teacher,Educational Instruction and Library,,
secretary ,Office and Administrative Support,,
Consultant ,Business and Financial Operations,,
Health carer,Healthcare Support,,
Teacher,Educational Instruction and Library,,
Retailer ,Sales and Related,,
Helpdesk analyst,Office and Administrative Support,,
IT consultant ,Computer and Mathematical,,
Shopkeeper,Management,,
Asistent of the director,Office and Administrative Support,,
Sales Director,Sales and Related,,
